cones,cone_length,cone_width,stalk_length,scale_length,scale_width,scale_number,cone_ratio,angle,hue,value,chroma,profile,openness,seed_number,filled_seeds,viability,seed_weight,dry_weight,wet_weight
95,41.9,20.25,9.69,7.76,7.18,57,2.089783282,7,1,8,2,2,3,32,31,0.96875,0.314,4.29,6.22
95,37.83,18.98,8.74,6.95,6.28,54,2.171624714,4,1,6,2,1,4,35,34,0.971428571,0.34,4.53,6.54
95,44.66,21.31,7.54,6.77,6.54,63,2.826259947,9,1,6,4,2,4,40,38,0.95,0.396,5.98,8.41
95,47.74,21.38,6.4,6.46,6.56,64,3.340625,9,1,7,4,2,4,53,50,0.943396226,0.531,6.38,9.02
10,31.56,15.39,9.94,8.63,5.72,55,1.548289738,5,1,8,4,1,2,0,0,0,0,2.35,2.78
10,32.28,16.05,8.65,6.34,5.65,53,1.855491329,5,1,6,2,1,2,10,10,1,0.057,2.2,3.21
10,29.79,15.89,8.25,5.21,5.64,66,1.926060606,4,1,6,2,1,2,12,12,1,0.074,2.15,2.76
10,35.1,17.7,8.23,5.31,5.25,55,2.150668287,5,1,8,4,2,2,28,27,0.964285714,0.131,2.62,3.92
10,39.25,20.27,11.19,6.81,7.62,57,1.811438785,6,1,7,4,2,3,45,44,0.977777778,0.248,4.24,6.25
22,36.46,18.73,8.45,7.4,6.08,49,2.216568047,5,1,7,4,1,4,29,17,0.586206897,0.126,3.35,4.64
22,43.76,21.2,7.89,6.34,6.1,63,2.686945501,6,1,6,4,1,4,24,20,0.833333333,0.215,5.07,6.79
22,44.24,20.89,9.48,7.31,6.26,56,2.203586498,10,1,5,2,1,4,29,24,0.827586207,0.255,5.36,7.48
22,41.02,19.89,9.13,7.22,6.63,52,2.178532311,8,1,6,4,1,4,31,28,0.903225806,0.279,4.5,6.76
22,46.29,21.26,8.57,8,6.76,70,2.480746791,6,1,6,4,2,4,38,30,0.789473684,0.273,5.93,8.2
49,46.41,24.07,8.1,8.04,7.23,59,2.971604938,11,2,6,6,3,4,42,29,0.69047619,0.351,6.85,9.39
49,46.35,23.9,10.47,8.13,7.26,58,2.282712512,10,1,7,6,3,3,38,29,0.763157895,0.359,6.96,9.55
49,47.61,21.27,9.13,8.31,6.86,56,2.329682366,9,1,6,2,3,4,45,35,0.777777778,0.404,5.38,7.63
49,47.73,21.98,9.09,8.56,6.29,68,2.418041804,9,1,8,4,2,4,52,38,0.730769231,0.431,5.61,8.08
49,58.02,28.96,13.49,8.71,8.73,82,2.146775389,6,1,7,6,4,4,69,46,0.666666667,0.644,10.55,14.84
13,43.06,18.92,9.06,7.33,8.42,60,2.088300221,6,1,8,4,1,3,20,16,0.8,0.104,4.03,5.6
13,48.48,21.1,10.21,6.77,6.91,62,2.066601371,6,1,8,4,2,4,31,24,0.774193548,0.178,5.42,7.6
13,53.32,23.7,9.1,7.64,7.74,63,2.604395604,5,1,7,4,2,4,35,28,0.8,0.29,7.97,11.15
13,41.61,19.01,9.62,6.5,8.02,63,1.976091476,6,1,6,4,1,4,33,30,0.909090909,0.18,4.24,5.9
13,55.61,23.2,9.03,7.69,7.51,59,2.569213732,7,1,6,4,2,4,34,30,0.882352941,0.232,7.88,10.82
24,33.74,19.87,9.46,7.12,6.47,62,2.100422833,12,1,6,4,3,3,25,18,0.72,0.136,3.51,5.06
24,32.86,18.89,9.85,6.87,5.51,48,1.917766497,14,1,7,4,3,3,21,18,0.857142857,0.117,3.15,4.49
24,37.68,20.62,9.24,6.91,7.52,66,2.231601732,9,1,8,4,3,3,23,20,0.869565217,0.147,4.28,5.97
24,41.22,22.54,8.14,7.21,8.07,63,2.769041769,8,1,6,2,3,4,30,27,0.9,0.205,4.69,7.4
24,43.36,22.56,8.95,7.16,7.32,58,2.520670391,9,1,8,4,3,3,39,31,0.794871795,0.241,5.65,8.15
34,36.52,20.54,7.69,7.61,7.36,52,2.6710013,4,1,6,4,3,1,0,0,0,0,3.72,5.47
34,41.64,19.48,10.65,7.73,7.19,64,1.829107981,6,1,6,4,3,2,0,0,0,0,4.9,6.72
34,44.74,23.88,9.85,7.81,6.72,65,2.424365482,15,1,8,6,3,2,0,0,0,0,7.23,9.59
34,46.76,23.09,9.68,8.87,8.07,60,2.385330579,8,1,8,6,3,1,0,0,0,0,7.64,9.89
34,48.35,23.63,8.84,8.71,8.55,68,2.673076923,7,1,7,4,3,2,26,21,0.807692308,0.289,7.05,9.95
59,42.72,23.43,8.37,8.67,7.95,70,2.799283154,5,1,6,4,1,4,20,18,0.9,0.17,5.92,8.88
59,41.53,22.35,9.15,6.63,6.98,74,2.442622951,4,1,6,4,1,3,37,34,0.918918919,0.302,6.15,7.14
59,43.37,25.23,9.38,7.87,7.83,79,2.689765458,6,1,6,4,2,3,43,39,0.906976744,0.317,6.21,9.49
59,47.44,25.17,9.59,7.55,7.33,82,2.624608968,5,1,6,4,2,4,45,39,0.866666667,0.329,6.77,10.29
59,49.67,24.46,8.35,8.2,6.66,77,2.929341317,5,1,6,4,2,4,45,40,0.888888889,0.406,8.72,12.54
46,38.5,18.85,9.48,5.25,5.93,67,1.988396624,15,1,5,2,2,2,23,21,0.913043478,0.168,2.88,4.5
46,36.37,18.47,8.85,5.73,6.26,64,2.08700565,11,1,6,4,2,3,28,23,0.821428571,0.183,3,4.42
46,45.03,21.49,10.97,5.94,6.59,80,1.958979034,5,1,6,2,2,4,39,35,0.897435897,0.345,4.36,6.67
46,51.97,25.12,10.63,6.2,7.03,87,2.363123236,8,1,6,4,3,3,38,35,0.921052632,0.402,6.31,9.91
46,53.25,25.2,10.52,7.95,7.17,93,2.395437262,6,1,6,4,3,3,44,41,0.931818182,0.43,7.22,10.44
23,38.98,19.95,8.6,7.1,7.28,61,2.319767442,15,1,7,4,3,2,5,5,1,0.068,4.25,5.24
23,43.91,20.72,8.32,8.48,6.93,63,2.490384615,6,1,5,2,4,3,22,18,0.818181818,0.145,4.84,7
23,39.68,18.79,7.86,7.74,8.25,65,2.390585242,9,1,6,4,3,4,23,22,0.956521739,0.14,4.11,5.9
23,44.91,20.59,7.66,7.28,7.02,60,2.687989556,5,1,5,2,4,3,26,23,0.884615385,0.155,4.66,6.71
23,46.5,19.48,7.45,8.28,7.83,60,2.614765101,4,1,7,4,4,3,24,23,0.958333333,0.193,4.84,7.06
139,49.64,25.26,13.63,8.79,8.45,80,1.853264857,11,1,7,4,4,3,27,25,0.925925926,0.325,8.01,10.7
139,53.13,29.53,12.34,8.92,9.26,80,2.393030794,10,1,7,4,4,4,27,25,0.925925926,0.354,10.72,14.27
139,51.38,25.25,10.4,7.55,8.1,72,2.427884615,9,1,7,4,4,3,27,26,0.962962963,0.321,7.54,10.28
139,51.67,26.03,11.71,8.45,7.9,79,2.222886422,13,1,7,4,4,3,29,29,1,0.314,8.77,11.18
139,52.32,27.31,12.15,8.41,7.94,80,2.247736626,11,1,7,4,4,3,35,34,0.971428571,0.314,9.11,11.8
103,44.01,22.07,11.62,6.47,7.47,72,1.899311532,10,1,8,4,2,3,25,17,0.68,0.208,5.26,7.09
